1,9.9282,0.21663
2,9.9093,0.64949
3,9.8715,1.0811
4,9.815,1.5107
5,9.7397,1.9374
6,9.646,2.3604
7,9.5338,2.7789
8,9.4035,3.1921
9,9.2554,3.5992
10,9.0896,3.9995
11,8.9064,4.3922
12,8.7064,4.7765
13,8.4897,5.1517
14,8.257,5.5171
15,8.0084,5.872
16,7.7447,6.2158
17,7.4662,6.5477
18,7.1735,6.8671
19,6.8671,7.1735
20,6.5477,7.4662
21,6.2158,7.7447
22,5.872,8.0084
23,5.5171,8.257
24,5.1517,8.4897
25,4.7765,8.7064
26,4.3922,8.9064
27,3.9995,9.0896
28,3.5992,9.2554
29,3.1921,9.4035
30,2.7789,9.5338
31,2.3604,9.646
32,1.9374,9.7397
33,1.5107,9.815
34,1.0811,9.8715
35,0.64949,9.9093
36,0.21663,9.9282
37,-0.21663,9.9282
38,-0.64949,9.9093
39,-1.0811,9.8715
40,-1.5107,9.815
41,-1.9374,9.7397
42,-2.3604,9.646
43,-2.7789,9.5338
44,-3.1921,9.4035
45,-3.5992,9.2554
46,-3.9995,9.0896
47,-4.3922,8.9064
48,-4.7765,8.7064
49,-5.1517,8.4897
50,-5.5171,8.257
51,-5.872,8.0084
52,-6.2158,7.7447
53,-6.5477,7.4662
54,-6.8671,7.1735
55,-7.1735,6.8671
56,-7.4662,6.5477
57,-7.7447,6.2158
58,-8.0084,5.872
59,-8.257,5.5171
60,-8.4897,5.1517
61,-8.7064,4.7765
62,-8.9064,4.3922
63,-9.0896,3.9995
64,-9.2554,3.5992
65,-9.4035,3.1921
66,-9.5338,2.7789
67,-9.646,2.3604
68,-9.7397,1.9374
69,-9.815,1.5107
70,-9.8715,1.0811
71,-9.9093,0.64949
72,-9.9282,0.21663
73,-9.9282,-0.21663
74,-9.9093,-0.64949
75,-9.8715,-1.0811
76,-9.815,-1.5107
77,-9.7397,-1.9374
78,-9.646,-2.3604
79,-9.5338,-2.7789
80,-9.4035,-3.1921
81,-9.2554,-3.5992
82,-9.0896,-3.9995
83,-8.9064,-4.3922
84,-8.7064,-4.7765
85,-8.4897,-5.1517
86,-8.257,-5.5171
87,-8.0084,-5.872
88,-7.7447,-6.2158
89,-7.4662,-6.5477
90,-7.1735,-6.8671
91,-6.8671,-7.1735
92,-6.5477,-7.4662
93,-6.2158,-7.7447
94,-5.872,-8.0084
95,-5.5171,-8.257
96,-5.1517,-8.4897
97,-4.7765,-8.7064
98,-4.3922,-8.9064
99,-3.9995,-9.0896
100,-3.5992,-9.2554
101,-3.1921,-9.4035
102,-2.7789,-9.5338
103,-2.3604,-9.646
104,-1.9374,-9.7397
105,-1.5107,-9.815
106,-1.0811,-9.8715
107,-0.64949,-9.9093
108,-0.21663,-9.9282
109,0.21663,-9.9282
110,0.64949,-9.9093
111,1.0811,-9.8715
112,1.5107,-9.815
